Wavelength(nm)	n	k
1300	1.000273571	0
1310	1.000273557	0
1320	1.000273543	0
1330	1.00027353	0
1340	1.000273517	0
1350	1.000273504	0
1360	1.000273492	0
1370	1.00027348	0
1380	1.000273468	0
1390	1.000273456	0
1400	1.000273445	0
1410	1.000273433	0
1420	1.000273423	0
1430	1.000273412	0
1440	1.000273401	0
1450	1.000273391	0
1460	1.000273381	0
1470	1.000273371	0
1480	1.000273362	0
1490	1.000273352	0
1500	1.000273343	0
1510	1.000273334	0
1520	1.000273325	0
1530	1.000273317	0
1540	1.000273308	0
1550	1.0002733	0
1560	1.000273291	0
1570	1.000273283	0
1580	1.000273276	0
1590	1.000273268	0
1600	1.00027326	0
1610	1.000273253	0
1620	1.000273245	0
1630	1.000273238	0
1640	1.000273231	0
1650	1.000273224	0
1660	1.000273217	0
1670	1.000273211	0
1680	1.000273204	0
1690	1.000273198	0
1700	1.000273191	0
1710	1.000273185	0
1720	1.000273179	0
1730	1.000273173	0
1740	1.000273167	0
1750	1.000273161	0
1760	1.000273156	0
1770	1.00027315	0
1780	1.000273145	0
1790	1.000273139	0
1800	1.000273134	0
1810	1.000273129	0
1820	1.000273123	0
1830	1.000273118	0
1840	1.000273113	0
1850	1.000273108	0
1860	1.000273104	0
1870	1.000273099	0
1880	1.000273094	0
1890	1.00027309	0
1900	1.000273085	0
1910	1.000273081	0
1920	1.000273076	0
1930	1.000273072	0
1940	1.000273068	0
1950	1.000273063	0
1960	1.000273059	0
1970	1.000273055	0
1980	1.000273051	0
1990	1.000273047	0
