Wavelength(nm)	n	k
1432 2.85504 0.32461
1438 2.85549 0.32224
1444 2.85591 0.31988
1450 2.85630 0.31754
1456 2.85667 0.31521
1462 2.85701 0.31290
1468 2.85732 0.31061
1474 2.85761 0.30834
1480 2.85788 0.30609
1486 2.85812 0.30386
1492 2.85834 0.30164
1498 2.85854 0.29944
1504 2.85871 0.29726
1510 2.85886 0.29510
1516 2.85899 0.29295
1522 2.85910 0.29082
1528 2.85919 0.28872
1534 2.85925 0.28663
1540 2.85930 0.28455
1546 2.85933 0.28250
1552 2.85934 0.28046
1558 2.85933 0.27845
1564 2.85930 0.27645
1570 2.85925 0.27447
1576 2.85918 0.27250
1582 2.85909 0.27056
1588 2.85899 0.26864
1594 2.85887 0.26673
1600 2.85873 0.26484
1606 2.85858 0.26297
1612 2.85841 0.26112
1618 2.85822 0.25929
1624 2.85802 0.25748
1630 2.85780 0.25569
1636 2.85757 0.25392
1642 2.85732 0.25216
1648 2.85706 0.25043
