wl,n,k
0.4,1.000293822,0
0.406,1.000293508,0
0.412,1.00029321,0
0.418,1.000292925,0
0.424,1.000292652,0
0.43,1.000292392,0
0.436,1.000292142,0
0.442,1.000291904,0
0.448,1.000291675,0
0.454,1.000291456,0
0.46,1.000291246,0
0.466,1.000291044,0
0.472,1.00029085,0
0.478,1.000290664,0
0.484,1.000290485,0
0.49,1.000290313,0
0.496,1.000290147,0
0.502,1.000289988,0
0.508,1.000289834,0
0.514,1.000289686,0
0.52,1.000289543,0
0.526,1.000289405,0
0.532,1.000289272,0
0.538,1.000289144,0
0.544,1.00028902,0
0.55,1.0002889,0
0.556,1.000288784,0
0.562,1.000288672,0
0.568,1.000288563,0
0.574,1.000288458,0
0.58,1.000288357,0
0.586,1.000288258,0
0.592,1.000288163,0
0.598,1.00028807,0
0.604,1.000287981,0
0.61,1.000287894,0
0.616,1.00028781,0
0.622,1.000287728,0
0.628,1.000287648,0
0.634,1.000287571,0
0.64,1.000287496,0
0.646,1.000287424,0
0.652,1.000287353,0
0.658,1.000287284,0
0.664,1.000287217,0
0.67,1.000287152,0
0.676,1.000287089,0
0.682,1.000287027,0
0.688,1.000286967,0
0.694,1.000286909,0
0.7,1.000286852,0
0.706,1.000286797,0
0.712,1.000286743,0
0.718,1.00028669,0
0.724,1.000286639,0
0.73,1.000286589,0
0.736,1.00028654,0
0.742,1.000286493,0
0.748,1.000286446,0
0.754,1.000286401,0
0.76,1.000286357,0
0.766,1.000286314,0
0.772,1.000286272,0
0.778,1.000286231,0
0.784,1.000286191,0
0.79,1.000286151,0
0.796,1.000286113,0
0.802,1.000286076,0
0.808,1.000286039,0
0.814,1.000286003,0
0.82,1.000285968,0
0.826,1.000285934,0
0.832,1.000285901,0
0.838,1.000285868,0
0.844,1.000285836,0
0.85,1.000285804,0
0.856,1.000285774,0
0.862,1.000285744,0
0.868,1.000285714,0
0.874,1.000285685,0
0.88,1.000285657,0
0.886,1.00028563,0
0.892,1.000285603,0
0.898,1.000285576,0
0.904,1.00028555,0
0.91,1.000285525,0
0.916,1.0002855,0
0.922,1.000285475,0
0.928,1.000285451,0
0.934,1.000285428,0
0.94,1.000285405,0
0.946,1.000285382,0
0.952,1.00028536,0
0.958,1.000285338,0
0.964,1.000285317,0
0.97,1.000285296,0
0.976,1.000285275,0
0.982,1.000285255,0
0.988,1.000285235,0
0.994,1.000285216,0
1,1.000285196,0
1.3,1.000273571,0
1.31,1.000273557,0
1.32,1.000273543,0
1.33,1.00027353,0
1.34,1.000273517,0
1.35,1.000273504,0
1.36,1.000273492,0
1.37,1.00027348,0
1.38,1.000273468,0
1.39,1.000273456,0
1.4,1.000273445,0
1.41,1.000273433,0
1.42,1.000273423,0
1.43,1.000273412,0
1.44,1.000273401,0
1.45,1.000273391,0
1.46,1.000273381,0
1.47,1.000273371,0
1.48,1.000273362,0
1.49,1.000273352,0
1.5,1.000273343,0
1.51,1.000273334,0
1.52,1.000273325,0
1.53,1.000273317,0
1.54,1.000273308,0
1.55,1.0002733,0
1.56,1.000273291,0
1.57,1.000273283,0
1.58,1.000273276,0
1.59,1.000273268,0
1.6,1.00027326,0
1.61,1.000273253,0
1.62,1.000273245,0
1.63,1.000273238,0
1.64,1.000273231,0
1.65,1.000273224,0
1.66,1.000273217,0
1.67,1.000273211,0
1.68,1.000273204,0
1.69,1.000273198,0
1.7,1.000273191,0
1.71,1.000273185,0
1.72,1.000273179,0
1.73,1.000273173,0
1.74,1.000273167,0
1.75,1.000273161,0
1.76,1.000273156,0
1.77,1.00027315,0
1.78,1.000273145,0
1.79,1.000273139,0
1.8,1.000273134,0
1.81,1.000273129,0
1.82,1.000273123,0
1.83,1.000273118,0
1.84,1.000273113,0
1.85,1.000273108,0
1.86,1.000273104,0
1.87,1.000273099,0
1.88,1.000273094,0
1.89,1.00027309,0
1.9,1.000273085,0
1.91,1.000273081,0
1.92,1.000273076,0
1.93,1.000273072,0
1.94,1.000273068,0
1.95,1.000273063,0
1.96,1.000273059,0
1.97,1.000273055,0
1.98,1.000273051,0
1.99,1.000273047,0
2,1.000273043,0
2.01,1.000273039,0
2.02,1.000273036,0
2.03,1.000273032,0
2.04,1.000273028,0
2.05,1.000273025,0
2.06,1.000273021,0
2.07,1.000273018,0
2.08,1.000273014,0
2.09,1.000273011,0
2.1,1.000273007,0
2.11,1.000273004,0
2.12,1.000273001,0
2.13,1.000272998,0
2.14,1.000272994,0
2.15,1.000272991,0
2.16,1.000272988,0
2.17,1.000272985,0
2.18,1.000272982,0
2.19,1.000272979,0
2.2,1.000272976,0
2.21,1.000272973,0
2.22,1.000272971,0
2.23,1.000272968,0
2.24,1.000272965,0
2.25,1.000272962,0
2.26,1.00027296,0
2.27,1.000272957,0
2.28,1.000272954,0
2.29,1.000272952,0
2.3,1.000272949,0
2.31,1.000272947,0
2.32,1.000272944,0
2.33,1.000272942,0
2.34,1.000272939,0
2.35,1.000272937,0
2.36,1.000272935,0
2.37,1.000272932,0
2.38,1.00027293,0
2.39,1.000272928,0
2.4,1.000272925,0
2.41,1.000272923,0
2.42,1.000272921,0
2.43,1.000272919,0
2.44,1.000272917,0
2.45,1.000272915,0
2.46,1.000272913,0
2.47,1.000272911,0
2.48,1.000272909,0
2.49,1.000272907,0
2.5,1.000272905,0
