wl,n,k
0.3,1.566,1.627
0.31,1.448,1.714
0.32,1.45,1.884
0.33,1.689,1.99
0.34,1.899,1.832
0.35,1.934,1.737
0.36,1.853,1.646
0.37,1.799,1.636
0.38,1.773,1.639
0.39,1.75,1.637
0.4,1.713,1.62
0.41,1.662,1.576
0.42,1.572,1.546
0.43,1.462,1.561
0.44,1.377,1.622
0.45,1.334,1.686
0.46,1.313,1.711
0.47,1.276,1.695
0.48,1.19,1.676
0.49,1.058,1.671
0.5,0.904,1.715
0.51,0.767,1.808
0.52,0.682,1.95
0.53,0.599,2.065
0.54,0.53,2.182
0.55,0.466,2.298
0.56,0.412,2.421
0.57,0.362,2.548
0.58,0.329,2.684
0.59,0.304,2.828
0.6,0.313,2.945
0.61,0.313,3.067
0.62,0.312,3.185
0.63,0.324,3.333
0.64,0.394,3.418
0.65,0.406,3.461
0.66,0.386,3.514
0.67,0.349,3.588
0.68,0.334,3.747
0.69,0.426,3.806
0.7,0.425,3.852
0.71,0.419,4.007
0.72,0.407,4.062
0.73,0.387,4.12
0.74,0.372,4.18
0.75,0.364,4.228
0.76,0.359,4.301
0.77,0.36,4.37
0.78,0.354,4.449
0.79,0.357,4.527
0.8,0.36,4.602
0.81,0.361,4.679
0.82,0.354,4.764
0.83,0.371,4.821
0.84,0.367,4.903
0.85,0.371,4.972
0.86,0.365,5.057
0.87,0.363,5.135
0.88,0.363,5.211
0.89,0.381,5.26
0.9,0.376,5.343
0.91,0.381,5.411
0.92,0.386,5.476
0.93,0.383,5.561
0.94,0.384,5.637
0.95,0.389,5.704
0.96,0.394,5.772
0.97,0.393,5.861
0.98,0.399,5.923
0.99,0.401,6.004
1,0.411,6.05
1.01,0.411,6.143
1.02,0.418,6.199
1.03,0.417,6.28
1.04,0.421,6.35
1.05,0.426,6.424
1.06,0.433,6.484
1.07,0.438,6.561
1.08,0.444,6.638
1.09,0.451,6.69
1.1,0.456,6.769
1.11,0.462,6.841
1.12,0.468,6.899
1.13,0.474,6.973
1.14,0.481,7.044
1.15,0.487,7.113
1.16,0.494,7.184
1.17,0.5,7.26
1.18,0.506,7.311
1.19,0.512,7.378
1.2,0.518,7.444
1.21,0.524,7.517
1.22,0.532,7.585
1.23,0.538,7.649
1.24,0.544,7.716
1.25,0.551,7.788
1.26,0.557,7.863
1.27,0.56,7.911
1.28,0.567,7.982
1.29,0.573,8.053
1.3,0.58,8.119
1.31,0.586,8.189
1.32,0.592,8.254
1.33,0.599,8.322
1.34,0.605,8.39
1.35,0.612,8.455
1.36,0.619,8.527
1.37,0.623,8.59
1.38,0.629,8.65
1.39,0.635,8.722
1.4,0.641,8.79
1.41,0.65,8.864
1.42,0.655,8.925
1.43,0.661,8.989
1.44,0.667,9.056
1.45,0.674,9.121
1.46,0.682,9.193
1.47,0.69,9.271
1.48,0.692,9.319
1.49,0.701,9.386
1.5,0.707,9.457
1.51,0.713,9.525
1.52,0.72,9.593
1.53,0.73,9.66
1.54,0.736,9.735
1.55,0.74,9.79
1.56,0.75,9.86
1.57,0.759,9.928
1.58,0.764,9.997
1.59,0.772,10.064
1.6,0.782,10.132
1.61,0.789,10.197
1.62,0.796,10.263
1.63,0.804,10.332
1.64,0.814,10.401
1.65,0.818,10.471
1.66,0.828,10.535
1.67,0.836,10.607
1.68,0.846,10.665
1.69,0.854,10.735
1.7,0.862,10.801
1.71,0.873,10.868
1.72,0.88,10.94
1.73,0.887,11.001
1.74,0.896,11.063
1.75,0.904,11.13
1.76,0.912,11.197
1.77,0.919,11.263
1.78,0.929,11.328
1.79,0.939,11.394
1.8,0.948,11.459
1.81,0.957,11.522
1.82,0.966,11.588
1.83,0.974,11.652
1.84,0.984,11.716
1.85,0.994,11.784
1.86,1.002,11.844
1.87,1.013,11.914
1.88,1.023,11.981
1.89,1.03,12.038
1.9,1.046,12.129
1.91,1.057,12.199
