wl,n,k
0.4,3.02224,2.84E+00
0.402,3.02891,2.84E+00
0.404,3.03557,2.83E+00
0.406,3.04224,2.83E+00
0.408,3.0489,2.82E+00
0.41,3.05556,2.82E+00
0.412,3.06223,2.82E+00
0.414,3.06889,2.81E+00
0.416,3.07555,2.81E+00
0.418,3.08222,2.81E+00
0.42,3.08888,2.80E+00
0.422,3.09555,2.80E+00
0.424,3.10221,2.79E+00
0.426,3.10888,2.79E+00
0.428,3.11554,2.79E+00
0.43,3.12221,2.78E+00
0.432,3.12888,2.78E+00
0.434,3.13554,2.77E+00
0.436,3.14221,2.77E+00
0.438,3.14887,2.77E+00
0.44,3.15554,2.76E+00
0.442,3.16221,2.76E+00
0.444,3.16887,2.75E+00
0.446,3.17554,2.75E+00
0.448,3.18221,2.75E+00
0.45,3.18888,2.74E+00
0.452,3.19554,2.74E+00
0.454,3.20221,2.74E+00
0.456,3.20888,2.73E+00
0.458,3.21555,2.73E+00
0.46,3.22222,2.72E+00
0.462,3.22888,2.72E+00
0.464,3.23555,2.72E+00
0.466,3.24222,2.71E+00
0.468,3.24889,2.71E+00
0.47,3.25556,2.70E+00
0.472,3.26223,2.70E+00
0.474,3.2689,2.70E+00
0.476,3.27558,2.69E+00
0.478,3.28225,2.69E+00
0.48,3.28892,2.68E+00
0.482,3.2956,2.68E+00
0.484,3.30227,2.68E+00
0.486,3.30895,2.67E+00
0.488,3.31562,2.67E+00
0.49,3.3223,2.66E+00
0.492,3.32898,2.66E+00
0.494,3.33566,2.66E+00
0.496,3.34234,2.65E+00
0.498,3.34902,2.65E+00
0.5,3.3557,2.64E+00
0.502,3.36238,2.64E+00
0.504,3.36907,2.63E+00
0.506,3.37575,2.63E+00
0.508,3.38244,2.63E+00
0.51,3.38913,2.62E+00
0.512,3.39583,2.62E+00
0.514,3.40252,2.61E+00
0.516,3.40922,2.61E+00
0.518,3.41593,2.61E+00
0.52,3.42264,2.60E+00
0.522,3.42935,2.60E+00
0.524,3.43607,2.59E+00
0.526,3.44279,2.59E+00
0.528,3.44952,2.59E+00
0.53,3.45626,2.58E+00
0.532,3.463,2.58E+00
0.534,3.46976,2.57E+00
0.536,3.47652,2.57E+00
0.538,3.48329,2.57E+00
0.54,3.49007,2.56E+00
0.542,3.49687,2.56E+00
0.544,3.50368,2.55E+00
0.546,3.5105,2.55E+00
0.548,3.51733,2.55E+00
0.55,3.52418,2.54E+00
0.552,3.53104,2.54E+00
0.554,3.53793,2.53E+00
0.556,3.54482,2.53E+00
0.558,3.55174,2.53E+00
0.56,3.55867,2.52E+00
0.562,3.56562,2.52E+00
0.564,3.57259,2.51E+00
0.566,3.57959,2.51E+00
0.568,3.5866,2.50E+00
0.57,3.59364,2.50E+00
0.572,3.6007,2.49E+00
0.574,3.60778,2.49E+00
0.576,3.6149,2.49E+00
0.578,3.62203,2.48E+00
0.58,3.62919,2.48E+00
0.582,3.63637,2.47E+00
0.584,3.6436,2.47E+00
0.586,3.65083,2.46E+00
0.588,3.65812,2.46E+00
0.59,3.66542,2.45E+00
0.592,3.67277,2.45E+00
0.594,3.68013,2.44E+00
0.596,3.68754,2.44E+00
0.598,3.69497,2.43E+00
0.6,3.70244,2.43E+00
0.602,3.70995,2.42E+00
0.604,3.71748,2.42E+00
0.606,3.72507,2.41E+00
0.608,3.73267,2.41E+00
0.61,3.74034,2.40E+00
0.612,3.74801,2.40E+00
0.614,3.75576,2.39E+00
0.616,3.76352,2.39E+00
0.618,3.77134,2.38E+00
0.62,3.77919,2.38E+00
0.622,3.78708,2.37E+00
0.624,3.79503,2.37E+00
0.626,3.80298,2.36E+00
0.628,3.81103,2.36E+00
0.63,3.81908,2.35E+00
0.632,3.82721,2.34E+00
0.634,3.83536,2.34E+00
0.636,3.84356,2.33E+00
0.638,3.85182,2.33E+00
0.64,3.86008,2.32E+00
0.642,3.86845,2.31E+00
0.644,3.87682,2.31E+00
0.646,3.88527,2.30E+00
0.648,3.89375,2.30E+00
0.65,3.90226,2.29E+00
0.652,3.91086,2.28E+00
0.654,3.91945,2.28E+00
0.656,3.92815,2.27E+00
0.658,3.93686,2.26E+00
0.66,3.94563,2.26E+00
0.662,3.95446,2.25E+00
0.664,3.9633,2.25E+00
0.666,3.97224,2.24E+00
0.668,3.98118,2.23E+00
0.67,3.9902,2.22E+00
0.672,3.99926,2.22E+00
0.674,4.00834,2.21E+00
0.676,4.01751,2.20E+00
0.678,4.02669,2.20E+00
0.68,4.03595,2.19E+00
0.682,4.04523,2.18E+00
0.684,4.05455,2.17E+00
0.686,4.06395,2.17E+00
0.688,4.07335,2.16E+00
0.69,4.08282,2.15E+00
0.692,4.09233,2.14E+00
0.694,4.10185,2.14E+00
0.696,4.11146,2.13E+00
0.698,4.12107,2.12E+00
0.7,4.13074,2.11E+00
0.702,4.14044,2.10E+00
0.704,4.15015,2.10E+00
0.706,4.15995,2.09E+00
0.708,4.16974,2.08E+00
0.71,4.17957,2.07E+00
0.712,4.18945,2.06E+00
0.714,4.19932,2.05E+00
0.716,4.20926,2.04E+00
0.718,4.2192,2.03E+00
0.72,4.22916,2.02E+00
0.722,4.23916,2.01E+00
0.724,4.24916,2.01E+00
0.726,4.25918,2.00E+00
0.728,4.26923,1.99E+00
0.73,4.27927,1.98E+00
0.732,4.28934,1.97E+00
0.734,4.29941,1.96E+00
0.736,4.30948,1.95E+00
0.738,4.31955,1.94E+00
0.74,4.32963,1.93E+00
0.742,4.3397,1.91E+00
0.744,4.34976,1.90E+00
0.746,4.35982,1.89E+00
0.748,4.36985,1.88E+00
0.75,4.37987,1.87E+00
0.752,4.3899,1.86E+00
0.754,4.39986,1.85E+00
0.756,4.40982,1.84E+00
0.758,4.41975,1.82E+00
0.76,4.42962,1.81E+00
0.762,4.43949,1.80E+00
0.764,4.44931,1.79E+00
0.766,4.45906,1.78E+00
0.768,4.4688,1.76E+00
0.77,4.47846,1.75E+00
0.772,4.48806,1.74E+00
0.774,4.49766,1.73E+00
0.776,4.50711,1.71E+00
0.778,4.51653,1.70E+00
0.78,4.52594,1.69E+00
0.782,4.53516,1.67E+00
0.784,4.54437,1.66E+00
0.786,4.55356,1.64E+00
0.788,4.56252,1.63E+00
0.79,4.57149,1.62E+00
0.792,4.5804,1.60E+00
0.794,4.5891,1.59E+00
0.796,4.59779,1.57E+00
0.798,4.60641,1.56E+00
0.8,4.61481,1.54E+00
0.802,4.6232,1.53E+00
0.804,4.6315,1.51E+00
0.806,4.63958,1.50E+00
0.808,4.64766,1.48E+00
0.81,4.65562,1.47E+00
0.812,4.66336,1.45E+00
0.814,4.67111,1.44E+00
0.816,4.67872,1.42E+00
0.818,4.68612,1.40E+00
0.82,4.69352,1.39E+00
0.822,4.70078,1.37E+00
0.824,4.70783,1.36E+00
0.826,4.71487,1.34E+00
0.828,4.72179,1.32E+00
0.83,4.72848,1.31E+00
0.832,4.73516,1.29E+00
0.834,4.74175,1.27E+00
0.836,4.74808,1.26E+00
0.838,4.75442,1.24E+00
0.84,4.76067,1.22E+00
0.842,4.76666,1.21E+00
0.844,4.77264,1.19E+00
0.846,4.77858,1.17E+00
0.848,4.78423,1.16E+00
0.85,4.78987,1.14E+00
0.852,4.79551,1.12E+00
0.854,4.80082,1.11E+00
0.856,4.80613,1.09E+00
0.858,4.81144,1.07E+00
0.86,4.81646,1.06E+00
0.862,4.82144,1.04E+00
0.864,4.82642,1.02E+00
0.866,4.83116,1.01E+00
0.868,4.83581,9.92E-01
0.87,4.84045,9.76E-01
0.872,4.84492,9.59E-01
0.874,4.84923,9.44E-01
0.876,4.85353,9.28E-01
0.878,4.85772,9.12E-01
0.88,4.86168,8.96E-01
0.882,4.86564,8.81E-01
0.884,4.86956,8.65E-01
0.886,4.87314,8.50E-01
0.888,4.87673,8.35E-01
0.89,4.88032,8.20E-01
0.892,4.88358,8.05E-01
0.894,4.88679,7.91E-01
0.896,4.88999,7.76E-01
0.898,4.89296,7.62E-01
0.9,4.89574,7.48E-01
0.902,4.89853,7.34E-01
